Category,Age,Salary,YearsExperience,WorkHoursPerWeek,EducationLevel,JobSatisfaction,PerformanceScore,Promotion
Staff Engineer,58,120000,Extensive,Long,PhD,Very High,Excellent,yes
Staff Engineer,52,105000,Extensive,Standard,Masters,High,Excellent,yes
Staff Engineer,49,98000,Moderate,Long,Masters,Medium,Good,no
Staff Engineer,55,110000,Extensive,Long,Masters,High,Excellent,yes
Staff Engineer,47,92000,Moderate,Standard,Bachelors,Low,Average,no
Staff Engineer,61,115000,Extensive,Short,PhD,High,Good,yes
Staff Engineer,50,100000,Moderate,Long,Masters,Very High,Excellent,yes
Staff Engineer,54,108000,Extensive,Standard,Masters,Medium,Good,no
Staff Engineer,48,95000,Moderate,Long,Bachelors,High,Good,yes
Staff Engineer,59,118000,Extensive,Long,PhD,Very High,Excellent,yes
Quality Assurance Analyst,42,75000,Limited,Standard,Bachelors,Medium,Good,no
Quality Assurance Analyst,38,70000,Limited,Long,Masters,High,Excellent,yes
Quality Assurance Analyst,45,78000,Moderate,Short,Bachelors,Low,Average,no
Quality Assurance Analyst,36,68000,Limited,Standard,Bachelors,Medium,Good,yes
Quality Assurance Analyst,41,73000,Moderate,Long,Masters,High,Good,yes
Quality Assurance Analyst,39,71000,Limited,Standard,Bachelors,Very High,Excellent,yes
Quality Assurance Analyst,44,76000,Moderate,Short,Masters,Low,Average,no
Quality Assurance Analyst,37,69000,Limited,Long,Bachelors,Medium,Good,no
Quality Assurance Analyst,40,72000,Moderate,Standard,Masters,High,Excellent,yes
Quality Assurance Analyst,43,74000,Moderate,Long,Bachelors,Medium,Good,no
Senior Developer,35,82000,Moderate,Long,Masters,High,Excellent,yes
Senior Developer,32,78000,Limited,Standard,Bachelors,Medium,Good,no
Senior Developer,38,85000,Moderate,Long,Masters,Very High,Excellent,yes
Senior Developer,33,80000,Limited,Short,Bachelors,Low,Average,no
Senior Developer,36,83000,Moderate,Standard,Masters,High,Good,yes
Senior Developer,31,77000,Limited,Long,Bachelors,Medium,Good,no
Senior Developer,34,81000,Moderate,Standard,Masters,High,Excellent,yes
Senior Developer,37,84000,Moderate,Long,PhD,Very High,Excellent,yes
Senior Developer,30,76000,Limited,Short,Bachelors,Low,Average,no
Senior Developer,39,86000,Extensive,Long,Masters,High,Good,yes
